stock_code,is_success
002292.XSHE,False
002293.XSHE,False
002294.XSHE,False
002295.XSHE,False
002296.XSHE,False
002297.XSHE,False
002298.XSHE,False
002299.XSHE,False
002300.XSHE,False
002301.XSHE,False
002302.XSHE,False
002303.XSHE,False
002304.XSHE,False
002305.XSHE,False
002306.XSHE,False
002307.XSHE,False
002308.XSHE,False
002309.XSHE,False
002310.XSHE,False
002311.XSHE,False
002312.XSHE,False
002313.XSHE,False
002314.XSHE,False
002315.XSHE,False
002316.XSHE,False
002317.XSHE,False
002318.XSHE,False
002319.XSHE,False
002320.XSHE,False
002321.XSHE,False
002322.XSHE,False
002323.XSHE,False
002324.XSHE,False
002325.XSHE,False
002326.XSHE,False
002327.XSHE,False
002328.XSHE,False
002329.XSHE,False
002330.XSHE,False
002331.XSHE,False
002332.XSHE,False
002333.XSHE,False
002334.XSHE,False
002335.XSHE,False
002336.XSHE,False
002337.XSHE,False
002338.XSHE,False
002339.XSHE,False
002340.XSHE,False
002341.XSHE,False
002342.XSHE,False
002343.XSHE,False
002344.XSHE,False
002345.XSHE,False
002346.XSHE,False
002347.XSHE,False
002348.XSHE,False
002349.XSHE,False
002350.XSHE,False
002351.XSHE,False
002352.XSHE,False
002353.XSHE,False
002354.XSHE,False
002355.XSHE,False
002356.XSHE,False
002357.XSHE,False
002358.XSHE,False
002359.XSHE,False
002360.XSHE,False
002361.XSHE,False
002362.XSHE,False
002363.XSHE,False
002364.XSHE,False
002365.XSHE,False
002366.XSHE,False
002367.XSHE,False
002368.XSHE,False
002369.XSHE,False
002370.XSHE,False
002371.XSHE,False
002372.XSHE,False
002373.XSHE,False
002374.XSHE,False
002375.XSHE,False
002376.XSHE,False
002377.XSHE,False
002378.XSHE,False
002379.XSHE,False
002380.XSHE,False
002381.XSHE,False
002382.XSHE,False
002383.XSHE,False
002384.XSHE,False
002385.XSHE,False
002386.XSHE,False
002387.XSHE,False
002388.XSHE,False
002389.XSHE,False
002390.XSHE,False
002391.XSHE,False
002392.XSHE,False
002393.XSHE,False
002394.XSHE,False
002395.XSHE,False
002396.XSHE,False
002397.XSHE,False
002398.XSHE,False
002399.XSHE,False
002400.XSHE,False
002401.XSHE,False
002402.XSHE,False
002403.XSHE,False
002404.XSHE,False
002405.XSHE,False
002406.XSHE,False
002407.XSHE,False
002408.XSHE,False
002409.XSHE,False
002410.XSHE,False
002411.XSHE,False
002412.XSHE,False
002413.XSHE,False
002414.XSHE,False
002415.XSHE,False
002416.XSHE,False
002417.XSHE,False
002418.XSHE,False
002419.XSHE,False
002420.XSHE,False
002421.XSHE,False
002422.XSHE,False
002423.XSHE,False
002424.XSHE,False
002425.XSHE,False
002426.XSHE,False
002427.XSHE,False
002428.XSHE,False
002429.XSHE,False
002430.XSHE,False
002431.XSHE,False
002432.XSHE,False
002433.XSHE,False
002434.XSHE,False
002435.XSHE,False
002436.XSHE,False
002437.XSHE,False
002438.XSHE,False
002439.XSHE,False
002440.XSHE,False
002441.XSHE,False
002442.XSHE,False
002443.XSHE,False
002444.XSHE,False
002445.XSHE,False
002446.XSHE,False
002447.XSHE,False
002448.XSHE,False
002449.XSHE,False
002450.XSHE,False
002451.XSHE,False
002452.XSHE,False
002453.XSHE,False
002454.XSHE,False
002455.XSHE,False
002456.XSHE,False
002457.XSHE,False
002458.XSHE,False
002459.XSHE,False
002460.XSHE,False
002461.XSHE,False
002462.XSHE,False
002463.XSHE,False
002464.XSHE,False
002465.XSHE,False
002466.XSHE,False
002467.XSHE,False
002468.XSHE,False
002469.XSHE,False
002470.XSHE,False
002471.XSHE,False
002472.XSHE,False
002473.XSHE,False
002474.XSHE,False
002475.XSHE,False
002476.XSHE,False
002477.XSHE,False
002478.XSHE,False
002479.XSHE,False
002480.XSHE,False
002481.XSHE,False
002482.XSHE,False
002483.XSHE,False
002484.XSHE,False
002485.XSHE,False
002486.XSHE,False
002487.XSHE,False
002488.XSHE,False
002489.XSHE,False
002490.XSHE,False
002491.XSHE,False
002492.XSHE,False
002493.XSHE,False
002494.XSHE,False
002495.XSHE,False
002496.XSHE,False
002497.XSHE,False
002498.XSHE,False
002499.XSHE,False
002500.XSHE,False
002501.XSHE,False
002502.XSHE,False
002503.XSHE,False
002504.XSHE,False
002505.XSHE,False
002506.XSHE,False
002507.XSHE,False
002508.XSHE,False
002509.XSHE,False
002510.XSHE,False
002511.XSHE,False
002512.XSHE,False
002513.XSHE,False
002514.XSHE,False
002515.XSHE,False
002516.XSHE,False
002517.XSHE,False
002518.XSHE,False
002519.XSHE,False
002520.XSHE,False
002521.XSHE,False
002522.XSHE,False
002523.XSHE,False
002524.XSHE,False
002526.XSHE,False
002527.XSHE,False
002528.XSHE,False
002529.XSHE,False
002530.XSHE,False
002531.XSHE,False
002532.XSHE,False
002533.XSHE,False
002534.XSHE,False
002535.XSHE,False
002536.XSHE,False
002537.XSHE,False
002538.XSHE,False
002539.XSHE,False
002540.XSHE,False
002541.XSHE,False
002542.XSHE,False
002543.XSHE,False
002544.XSHE,False
002545.XSHE,False
002546.XSHE,False
002547.XSHE,False
002548.XSHE,False
002549.XSHE,False
002550.XSHE,False
002551.XSHE,False
002552.XSHE,False
002553.XSHE,False
002554.XSHE,False
002555.XSHE,False
002556.XSHE,False
002557.XSHE,False
002558.XSHE,False
002559.XSHE,False
002560.XSHE,False
002561.XSHE,False
002562.XSHE,False
002563.XSHE,False
002564.XSHE,False
002565.XSHE,False
002566.XSHE,False
002567.XSHE,False
002568.XSHE,False
002569.XSHE,False
002570.XSHE,False
002571.XSHE,False
002572.XSHE,False
002573.XSHE,False
002574.XSHE,False
002575.XSHE,False
002576.XSHE,False
002577.XSHE,False
002578.XSHE,False
002579.XSHE,False
002580.XSHE,False
002581.XSHE,False
002582.XSHE,False
002583.XSHE,False
002584.XSHE,False
002585.XSHE,False
002586.XSHE,False
002587.XSHE,False
002588.XSHE,False
002589.XSHE,False
002590.XSHE,False
002591.XSHE,False
002592.XSHE,False
002593.XSHE,False
002594.XSHE,False
002595.XSHE,False
002596.XSHE,False
002597.XSHE,False
002598.XSHE,False
002599.XSHE,False
002600.XSHE,False
002601.XSHE,False
002602.XSHE,False
002603.XSHE,False
002604.XSHE,False
002605.XSHE,False
002606.XSHE,False
002607.XSHE,False
002608.XSHE,False
002609.XSHE,False
002610.XSHE,False
002611.XSHE,False
002612.XSHE,False
002613.XSHE,False
002614.XSHE,False
002615.XSHE,False
002616.XSHE,False
002617.XSHE,False
002618.XSHE,False
002619.XSHE,False
002620.XSHE,False
002621.XSHE,False
002622.XSHE,False
002623.XSHE,False
002624.XSHE,False
002625.XSHE,False
002626.XSHE,False
002627.XSHE,False
002628.XSHE,False
002629.XSHE,False
002630.XSHE,False
002631.XSHE,False
002632.XSHE,False
002633.XSHE,False
002634.XSHE,False
002635.XSHE,False
002636.XSHE,False
002637.XSHE,False
002638.XSHE,False
002639.XSHE,False
002640.XSHE,False
002641.XSHE,False
002642.XSHE,False
002643.XSHE,False
002644.XSHE,False
002645.XSHE,False
002646.XSHE,False
002647.XSHE,False
002648.XSHE,False
002649.XSHE,False
002650.XSHE,False
002651.XSHE,False
002652.XSHE,False
002653.XSHE,False
002654.XSHE,False
002655.XSHE,False
002656.XSHE,False
002657.XSHE,False
002658.XSHE,False
002659.XSHE,False
002660.XSHE,False
002661.XSHE,False
002662.XSHE,False
002663.XSHE,False
002664.XSHE,False
002665.XSHE,False
002666.XSHE,False
002667.XSHE,False
002668.XSHE,False
002669.XSHE,False
002670.XSHE,False
002671.XSHE,False
002672.XSHE,False
002673.XSHE,False
002674.XSHE,False
002675.XSHE,False
002676.XSHE,False
002677.XSHE,False
002678.XSHE,False
002679.XSHE,False
002680.XSHE,False
002681.XSHE,False
002682.XSHE,False
002683.XSHE,False
002684.XSHE,False
002685.XSHE,False
002686.XSHE,False
002687.XSHE,False
002688.XSHE,False
002689.XSHE,False
002690.XSHE,False
002691.XSHE,False
002692.XSHE,False
002693.XSHE,False
002694.XSHE,False
002695.XSHE,False
002696.XSHE,False
002697.XSHE,False
002698.XSHE,False
002699.XSHE,False
002700.XSHE,False
002701.XSHE,False
002702.XSHE,False
002703.XSHE,False
002705.XSHE,False
002706.XSHE,False
002707.XSHE,False
002708.XSHE,False
002709.XSHE,False
002711.XSHE,False
002712.XSHE,False
002713.XSHE,False
002714.XSHE,False
002715.XSHE,False
002716.XSHE,False
002717.XSHE,False
002718.XSHE,False
002719.XSHE,False
002721.XSHE,False
002722.XSHE,False
002723.XSHE,False
002724.XSHE,False
002725.XSHE,False
002726.XSHE,False
002727.XSHE,False
002728.XSHE,False
002729.XSHE,False
002730.XSHE,False
002731.XSHE,False
002732.XSHE,False
002733.XSHE,False
002734.XSHE,False
002735.XSHE,False
002736.XSHE,False
002737.XSHE,False
002738.XSHE,False
002739.XSHE,False
002740.XSHE,False
002741.XSHE,False
002742.XSHE,False
002743.XSHE,False
002745.XSHE,False
002746.XSHE,False
002747.XSHE,False
002748.XSHE,False
002749.XSHE,False
002750.XSHE,False
002751.XSHE,False
002752.XSHE,False
002753.XSHE,False
002755.XSHE,False
002756.XSHE,False
002757.XSHE,False
002758.XSHE,False
002759.XSHE,False
002760.XSHE,False
002761.XSHE,False
002762.XSHE,False
002763.XSHE,False
002765.XSHE,False
002766.XSHE,False
002767.XSHE,False
002768.XSHE,False
002769.XSHE,False
002770.XSHE,False
002771.XSHE,False
002772.XSHE,False
002773.XSHE,False
002774.XSHE,False
002775.XSHE,False
002776.XSHE,False
002777.XSHE,False
002778.XSHE,False
002779.XSHE,False
002780.XSHE,False
002781.XSHE,False
002782.XSHE,False
002783.XSHE,False
002785.XSHE,False
002786.XSHE,False
002787.XSHE,False
002788.XSHE,False
002789.XSHE,False
002790.XSHE,False
002791.XSHE,False
002792.XSHE,False
002793.XSHE,False
002795.XSHE,False
002796.XSHE,False
002797.XSHE,False
002798.XSHE,False
002799.XSHE,False
002800.XSHE,False
002801.XSHE,False
002802.XSHE,False
002803.XSHE,False
002805.XSHE,False
002806.XSHE,False
002807.XSHE,False
002808.XSHE,False
002809.XSHE,False
002810.XSHE,False
002811.XSHE,False
002812.XSHE,False
002813.XSHE,False
002815.XSHE,False
002816.XSHE,False
002817.XSHE,False
002818.XSHE,False
002819.XSHE,False
002820.XSHE,False
002821.XSHE,False
002822.XSHE,False
002823.XSHE,False
002824.XSHE,False
002825.XSHE,False
002826.XSHE,False
002827.XSHE,False
002828.XSHE,False
002829.XSHE,False
002830.XSHE,False
002831.XSHE,False
002832.XSHE,False
002833.XSHE,False
002835.XSHE,False
002836.XSHE,False
002837.XSHE,False
002838.XSHE,False
002839.XSHE,False
002840.XSHE,False
002841.XSHE,False
002842.XSHE,False
002843.XSHE,False
002845.XSHE,False
002846.XSHE,False
002847.XSHE,False
002848.XSHE,False
002849.XSHE,False
002850.XSHE,False
002851.XSHE,False
002852.XSHE,False
002853.XSHE,False
002855.XSHE,False
002856.XSHE,False
002857.XSHE,False
002858.XSHE,False
002859.XSHE,False
